Year,Growth rate(Regional),Popularity,Cloud Market cap,place,Vendor,Market cap,Market ratio
2016,,37,0.95999999999999996,India,AWS,,31
2017,,64,1.4099999999999999,India,AWS,,31
2018,,54,1.79,India,AWS,,32.299999999999997
2019,,81,2.2999999999999998,India,AWS,,32
2020,,60,2.8300000000000001,India,AWS,,31
2021,,90,3.6400000000000001,India,AWS,,33
2016,,55,55.850000000000001,USA,AWS,,31
2017,,62,74.730000000000004,USA,AWS,,31
2018,,73,95.150000000000006,USA,AWS,,32.299999999999997
2019,,85,116.59999999999999,USA,AWS,,32
2020,,66,142.30000000000001,USA,AWS,52.651000000000003,31
2021,,99,170.90000000000001,USA,AWS,63.232999999999997,33
2016,,45,4.9199999999999999,United kingdom,AWS,,31
2017,,54,6.3700000000000001,United kingdom,AWS,,31
2018,,63,8.2699999999999996,United kingdom,AWS,8.5,32.299999999999997
2019,,59,9.7200000000000006,United kingdom,AWS,,32
2020,,55,11.59,United kingdom,AWS,,31
2021,,64,14.49,United kingdom,AWS,8.6999999999999993,33
2016,,40,4.0899999999999999,Germany,AWS,,31
2017,,58,5.8200000000000003,Germany,AWS,,31
2018,,62,7.8300000000000001,Germany,AWS,,32.299999999999997
2019,,62,9.2599999999999998,Germany,AWS,,32
2020,,87,11.57,Germany,AWS,,31
2021,,75,14.67,Germany,AWS,1.5600000000000001,33
2016,,33,2.8300000000000001,Japan,AWS,,31
2017,,43,4.0700000000000003,Japan,AWS,,31
2018,,48,5.5800000000000001,Japan,AWS,,32.299999999999997
2019,,63,7.3200000000000003,Japan,AWS,,32
2020,,47,9.7100000000000009,Japan,AWS,,31
2021,,61,12.220000000000001,Japan,AWS,4.9165999999999999,33
2016,,53,1.48,Australia,AWS,,31
2017,,61,2.1600000000000001,Australia,AWS,,31
2018,,67,2.79,Australia,AWS,,32.299999999999997
2019,,72,3.3500000000000001,Australia,AWS,,32
2020,,48,4.21,Australia,AWS,,31
2021,,52,5.6699999999999999,Australia,AWS,,33
2016,,44,2.6899999999999999,Canada,AWS,,31
2017,,49,3.6000000000000001,Canada,AWS,,31
2018,,62,4.46,Canada,AWS,25.699999999999999,32.299999999999997
2019,36,90,5.2000000000000002,Canada,AWS,35,32
2020,,56,6.1100000000000003,Canada,AWS,,31
2021,,74,7.4800000000000004,Canada,AWS,,33
2016,,38,2.1099999999999999,France,AWS,,31
2017,,47,3.0899999999999999,France,AWS,,31
2018,,68,4.3200000000000003,France,AWS,,32.299999999999997
2019,,73,5.2400000000000002,France,AWS,,32
2020,,61,6.5800000000000001,France,AWS,1.6000000000000001,31
2021,,73,8.5999999999999996,France,AWS,,33
2016,,41,1.1299999999999999,Italy,AWS,,31
2017,,43,1.6599999999999999,Italy,AWS,,31
2018,,45,2.3500000000000001,Italy,AWS,,32.299999999999997
2019,,56,2.8900000000000001,Italy,AWS,,32
2020,,44,3.7000000000000002,Italy,AWS,,31
2021,,60,4.9500000000000002,Italy,AWS,,33
2016,,44,1.1100000000000001,Spain,AWS,,31
2017,,49,1.53,Spain,AWS,,31
2018,,55,2.0600000000000001,Spain,AWS,,32.299999999999997
2019,,62,2.52,Spain,AWS,,32
2020,,44,3.0800000000000001,Spain,AWS,,31
2021,,68,4.0899999999999999,Spain,AWS,,33
2016,,21,1.02,Switzerland,AWS,,31
2017,,30,1.48,Switzerland,AWS,,31
2018,,33,2.04,Switzerland,AWS,,32.299999999999997
2019,,33,2.5699999999999998,Switzerland,AWS,,32
2020,,26,3.4900000000000002,Switzerland,AWS,,31
2021,,29,4.5199999999999996,Switzerland,AWS,,33
2016,,48,0.95999999999999996,South Korea,AWS,,31
2017,,57,1.49,South Korea,AWS,,31
2018,,67,2.1000000000000001,South Korea,AWS,,32.299999999999997
2019,,79,2.5499999999999998,South Korea,AWS,,32
2020,,64,3.4100000000000001,South Korea,AWS,,31
2021,,77,4.5099999999999998,South Korea,AWS,,33
2016,,16,0.94999999999999996,Netherlands,AWS,,31
2017,,21,1.48,Netherlands,AWS,,31
2018,,23,2.1800000000000002,Netherlands,AWS,,32.299999999999997
2019,,25,2.75,Netherlands,AWS,,32
2020,,20,3.6899999999999999,Netherlands,AWS,,31
2021,,23,4.8499999999999996,Netherlands,AWS,,33
2016,,27,0.87,Sweden,AWS,,31
2017,,34,1.25,Sweden,AWS,,31
2018,,43,1.6399999999999999,Sweden,AWS,,32.299999999999997
2019,,42,1.95,Sweden,AWS,,32
2020,,29,2.5600000000000001,Sweden,AWS,,31
2021,,34,3.4399999999999999,Sweden,AWS,,33
2016,,40,0.67000000000000004,Brazil,AWS,,31
2017,,53,1.1000000000000001,Brazil,AWS,,31
2018,,72,1.3799999999999999,Brazil,AWS,,32.299999999999997
2019,,74,1.77,Brazil,AWS,,32
2020,,53,1.8799999999999999,Brazil,AWS,,31
2021,,100,2.3599999999999999,Finland,AWS,,33
2016,,32,0.52000000000000002,Finland,AWS,,31
2017,,39,0.75,Finland,AWS,,31
2018,,42,1.04,Finland,AWS,,32.299999999999997
2019,,45,1.26,Finland,AWS,,32
2020,,33,1.6499999999999999,Finland,AWS,,31
2021,,48,2.1200000000000001,Finland,AWS,,33
2016,,16,0.51000000000000001,Denmark,AWS,,31
2017,,18,0.75,Denmark,AWS,,31
2018,,20,1.05,Denmark,AWS,,32.299999999999997
2019,,21,1.28,Denmark,AWS,,32
2020,,14,1.7,Denmark,AWS,,31
2021,,19,2.2200000000000002,Denmark,AWS,,33
2016,,45,0.51000000000000001,Singapore,AWS,,31
2017,,53,0.73999999999999999,Singapore,AWS,,31
2018,,62,1.05,Singapore,AWS,,32.299999999999997
2019,,75,1.3799999999999999,Singapore,AWS,,32
2020,,68,1.75,Singapore,AWS,,31
2021,,79,2.3599999999999999,Singapore,AWS,,33
2016,,15,0.45000000000000001,Norway,AWS,,31
2017,,21,0.66000000000000003,Norway,AWS,,31
2018,,19,0.90000000000000002,Norway,AWS,,32.299999999999997
2019,,15,1.03,Norway,AWS,,32
2020,,14,1.21,Norway,AWS,,31
2021,,16,1.7,Norway,AWS,,33
